state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Bihar,"Gopalganj (SC)","JANAK RAM",BJP,Lotus,478758,15,478773,1654838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,"Gaya (SC)","HARI MANJHI",BJP,Lotus,325040,1190,326230,1501521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kerala,Kannur,"P K SREEMATHI TEACHER",CPM,"Hammer, Sickle and Star",426478,1144,427622,1170266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nagaland,Nagaland,"NEIPHIU RIO",NPF,Cock,712888,484,713372,1182972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu","Chennai North","VENKATESH BABU .T.G",ADMK,"Two Leaves",406552,152,406704,1422392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Dindigul,"UDHAYA KUMAR .M",ADMK,"Two Leaves",510009,453,510462,1400531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Thanjavur,PARASURAMAN.K,ADMK,"Two Leaves",509587,720,510307,1340050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tripura,"Tripura West","SANKAR PRASAD DATTA",CPM,"Hammer, Sickle and Star",667086,4579,671665,1248546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"West Bengal",Joynagar,"PRATIMA MONDAL",AITC,"Flowers and Grass",494580,166,494746,1458724,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"West Bengal","Burdwan - durgapur","DR. MAMTAZ SANGHAMITA",AITC,"Flowers and Grass",553926,595,554521,1583495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jharkhand,Giridih,"RAVINDRA KUMAR PANDEY",BJP,Lotus,391905,8,391913,1511644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,"Valmiki Nagar","SATISH CHANDRA DUBEY",BJP,Lotus,363860,153,364013,1456598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kerala,Palakkad,"M B RAJESH",CPM,"Hammer, Sickle and Star",412427,470,412897,1208726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kerala,"Alathur ",P.K.BIJU,CPM,"Hammer, Sickle and Star",411310,498,411808,1216351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Sriperumbudur,"RAMACHANDRAN, K.N. THIRU",ADMK,"Two Leaves",545643,177,545820,1946503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu","Cuddalore ",ARUNMOZHITHEVAN.A,ADMK,"Two Leaves",480352,1077,481429,1247908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Uttar Pradesh",Mirzapur,"ANUPRIYA SINGH PATEL",AD,"Cup & Saucer",436500,36,436536,1720661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Uttar Pradesh",Robertsganj,CHHOTELAL,BJP,Lotus,378095,116,378211,1639074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Telangana,CHELVELLA,"KONDA VISHWESHWAR REDDY",TRS,Car,431084,3993,435077,2185164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Siwan,"OM PRAKASH YADAV",BJP,Lotus,372659,11,372670,1563860,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Jahanabad,"DR. ARUN KUMAR",BLSP,"Ceiling Fan",322422,225,322647,1423246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rajasthan,Nagaur,"C R CHOUDHARY",BJP,Lotus,412745,2046,414791,1678660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Tiruchirappalli,KUMAR.P,ADMK,"Two Leaves",457377,1101,458478,1387140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"West Bengal",Murshidabad,"BADARUDDOZA KHAN",CPM,"Hammer, Sickle and Star",426858,89,426947,1512098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,Jhanjharpur,"BIRENDRA KUMAR CHAUDHARY",BJP,Lotus,335440,41,335481,1668405,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kerala,Attingal,"DR.A .SAMPATH",CPM,"Hammer, Sickle and Star",391346,1132,392478,1251398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rajasthan,Bikaner,"ARJUN RAM MEGHWAL ",BJP,Lotus,583455,1477,584932,1592355,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Viluppuram,"RAJENDRAN S",ADMK,"Two Leaves",481296,1408,482704,1387007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tamil Nadu",Coimbatore,"NAGARAJAN, P.",ADMK,"Two Leaves",430909,808,431717,1720221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tripura,"Tripura East","JITENDRA CHAUDHURY",CPM,"Hammer, Sickle and Star",620251,3520,623771,1140276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
