state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Bihar,"Jamui (SC)","CHIRAG KUMAR PASWAN",LJP,Bungalow,285334,20,285354,1550936,"CHIRAG KUMAR PASWAN",LJP,Bungalow,527860,1274,529134,1718814,55.7490
"Uttar Pradesh",Phulpur,"KESHAV PRASAD MAURYA",BJP,Lotus,503011,553,503564,1913275,"Keshari Devi Patel",BJP,Lotus,542398,2303,544701,2010477,55.6820
Maharashtra,"Nagpur ","GADKARI NITIN JAIRAM",BJP,Lotus,586857,910,587767,1900784,"NITIN JAIRAM GADKARI",BJP,Lotus,657624,2597,660221,2161096,55.6655
"Uttar Pradesh",Kanpur,"DR.MURLI MANOHAR JOSHI",BJP,Lotus,474487,225,474712,1611248,"Satyadev Pachauri",BJP,Lotus,466442,2495,468937,1632983,55.6276
"Uttar Pradesh",Allahabad,"SHYAMA CHARAN GUPTA",BJP,Lotus,313465,307,313772,1666569,"Rita Bahuguna Joshi",BJP,Lotus,493204,1250,494454,1716160,55.6156
"Andhra Pradesh",Nandyal,"S.P.Y REDDY",YSRCP,"Ceiling Fan",620061,2350,622411,1576945,"POCHA . BRAHMANANDA REDDY",YSRCP,"Ceiling Fan",715024,5864,720888,1603220,55.4916
Gujarat,Bharuch,"VASAVA MANSUKHBHAI DHANJIBHAI",BJP,Lotus,546740,2162,548902,1417548,"Mansukhbhai Dhanjibhai Vasava",BJP,Lotus,635374,2421,637795,1564519,55.4737
"NCT OF Delhi","EAST DELHI                    ","MAHEISH GIRRI",BJP,Lotus,571567,635,572202,1829578,"GAUTAM GAMBHIR",BJP,Lotus,695109,1047,696156,2039302,55.3462
Bihar,"Samastipur (SC)","RAM CHANDRA PASWAN",LJP,Bungalow,270391,10,270401,1504451,"Ramchandra Paswan",LJP,Bungalow,561460,983,562443,1679030,55.1942
Assam,Kaliabor,"GOURAV GOGOI",INC,Hand,443032,283,443315,1457219,"Gaurav Gogoi",INC,Hand,785014,1078,786092,1734938,55.1765
Karnataka,Bagalkot,"GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA",BJP,Lotus,571200,348,571548,1568633,"Gaddigoudar Parvatagouda Chandanagouda",BJP,Lotus,661662,2976,664638,1704010,55.1744
"Andhra Pradesh","Ongole ","Y.V.SUBBA REDDY",YSRCP,"Ceiling Fan",584516,5345,589861,1470212,"MAGUNTA SREENIVASULU REDDY",YSRCP,"Ceiling Fan",729344,9858,739202,1556469,55.0670
Gujarat,Bardoli,"VASAVA PARBHUBHAI NAGARBHAI",BJP,Lotus,621188,1581,622769,1614106,"PARBHUBHAI NAGARBHAI VASAVA",BJP,Lotus,740448,1825,742273,1826526,55.0632
"Andhra Pradesh","Tirupati ","VARAPRASAD RAO VELAGAPALLI",YSRCP,"Ceiling Fan",578289,2087,580376,1574161,"Balli Durga Prasad Rao",YSRCP,"Ceiling Fan",717924,4953,722877,1650453,55.0338
"Uttar Pradesh",Gonda,"KIRTI VARDHAN SINGH",BJP,Lotus,358978,661,359639,1710825,"KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA",BJP,Lotus,507276,914,508190,1770248,55.0099
"Madhya Pradesh",BHIND,"DR. BHAGIRATH PRASAD",BJP,Lotus,404417,57,404474,1600137,"SANDHYA RAY",BJP,Lotus,522990,4704,527694,1765334,54.9288
Bihar,Purnia,"SANTOSH KUMAR",JD(U),Arrow,418717,109,418826,1582626,"SANTOSH KUMAR",JD(U),Arrow,632435,489,632924,1765312,54.8490
"NCT OF Delhi","NEW DELHI                     ","MEENAKASHI LEKHI",BJP,Lotus,452480,870,453350,1490147,"MEENAKASHI LEKHI",BJP,Lotus,503157,1049,504206,1617470,54.7728
Karnataka,Davanagere,"G M SIDDESHWARA",BJP,Lotus,518624,270,518894,1522712,"G M SIDDESHWAR",BJP,Lotus,651353,1643,652996,1633064,54.6630
"West Bengal",Basirhat,"IDRIS ALI",AITC,"Flowers and Grass",492054,272,492326,1490596,"Nusrat Jahan Ruhi",AITC,"Flowers and Grass",781920,158,782078,1678357,54.5634
"Uttar Pradesh",Etah,"RAJVEER SINGH (RAJU BHAIYA)",BJP,Lotus,474810,168,474978,1577457,"Rajveer Singh (Raju Bhaiya)",BJP,Lotus,544267,1081,545348,1621295,54.5562
